Production_Date,Month,Quarter,Year,Plant_Location,Department,Machine_ID,Machine_Type,Shift,Product_Being_Manufactured,Raw_Material,Machine_Condition,Units_Produced,Target_Units,Production_Efficiency_%,Defect_Count,Defect_Rate_%,Defect_Type,Downtime_Hours,Production_Cost_INR,Energy_Consumption_kWh,Maintenance_Required,Order_Status
01-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-006,Automatic Tape Winder ATW-300,Morning (6AM-2PM),Nova 10 Circular Loom,Recycled PP Pellets,Poor,132,365,36.16,32,24.24,Uneven Winding Tension,4.72,96108,68.32,Yes,Completed
01-01-2022,January,Q1,2022,Bengaluru Plant,Tape Winding,LC-004,Precision Winder PW-100,Afternoon (2PM-10PM),Strapping Line,PP Granules Grade B,Fair,159,487,32.65,15,9.43,No Defect,3.41,38503,33.38,No,Completed
01-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-003,HDPE Tape Extrusion Line,Morning (6AM-2PM),FIBC Conversion Line,Master Batch Additive,Good,140,225,62.22,15,10.71,Melt Flow Issue,1,65212,35.5,No,Completed
01-01-2022,January,Q1,2022,Bengaluru Plant,Circular Loom,LC-011,FSN 4 Circular Loom,Afternoon (2PM-10PM),Strapping Line,PP Granules Grade A,Excellent,42,436,9.63,9,21.43,Shuttle Jam,0.26,14850,136.46,No,Completed
01-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-002,Tape Extrusion Line TE-400,Afternoon (2PM-10PM),Precision Tape Winder,Master Batch Additive,Excellent,425,377,100,12,2.82,Melt Flow Issue,0.16,74725,99.6,No,In Progress
01-01-2022,January,Q1,2022,Bengaluru Plant,Circular Loom,LC-012,Venti Circular Loom,Night (10PM-6AM),CSN 4 Circular Loom,PP Granules Grade A,Poor,92,214,42.99,18,19.57,Broken Warp Tape,8.78,23780,149.16,No,In Progress
01-01-2022,January,Q1,2022,Kanpur Plant,Tape Extrusion,LC-001,Tape Extrusion Line TE-600,Night (10PM-6AM),Lofil Multifilament Line,HDPE Granules,Fair,42,226,18.58,11,26.19,Melt Flow Issue,1.44,19835,54.28,No,In Progress
02-01-2022,January,Q1,2022,Kanpur Plant,Tape Winding,LC-004,Precision Winder PW-100,Afternoon (2PM-10PM),Tape Extrusion Line,Recycled PP Pellets,Poor,115,499,23.05,44,38.26,No Defect,3.86,41525,95.13,No,On Hold
02-01-2022,January,Q1,2022,Bengaluru Plant,Conversion,LC-017,Flexographic Printing Machine,Night (10PM-6AM),Strapping Line,HDPE Granules,Excellent,220,485,45.36,7,3.18,Stitching Defect,1.32,20225,29.77,No,Completed
02-01-2022,January,Q1,2022,Bengaluru Plant,Tape Winding,LC-005,Step Precision Winder SPW-200,Morning (6AM-2PM),LSL Circular Loom,PP Granules Grade A,Excellent,429,470,91.28,10,2.33,Tape Overlap,1.52,69509,105.19,No,Completed
